question,answer
What is the capital of Australia?,Canberra
What is the longest river in the world?,Nile
Which country has the largest land area?,Russia
What is the capital of Canada?,Ottawa
What is the tallest mountain in the world?,Mount Everest
Which ocean is the largest?,Pacific
What is the capital of Brazil?,Brasilia
Which country has the most natural lakes?,Canada
What is the capital of Japan?,Tokyo
Which desert is the largest in the world?,Sahara
What is the capital of South Africa?,Pretoria
Which river flows through Egypt?,Nile
What is the smallest country in the world?,Vatican City
What is the capital of Argentina?,Buenos Aires
Which continent has the most countries?,Africa
What is the capital of Egypt?,Cairo
Which country owns Greenland?,Denmark
What is the capital of India?,New Delhi
What is the deepest lake in the world?,Lake Baikal
Which country has the longest coastline?,Canada
What is the capital of France?,Paris
What is the capital of Germany?,Berlin
What is the capital of Russia?,Moscow
What is the capital of China?,Beijing
What is the capital of Nigeria?,Abuja
What is the capital of Mexico?,Mexico City
What is the capital of Indonesia?,Jakarta
What is the capital of Pakistan?,Islamabad
What is the capital of Bangladesh?,Dhaka
What is the capital of Ethiopia?,Addis Ababa
What is the capital of Philippines?,Manila
What is the capital of Vietnam?,Hanoi
What is the capital of Turkey?,Ankara
What is the capital of Iran?,Tehran
What is the capital of Thailand?,Bangkok
What is the capital of United Kingdom?,London
What is the capital of Italy?,Rome
What is the capital of Spain?,Madrid
What is the capital of Ukraine?,Kyiv
What is the capital of Poland?,Warsaw
What is the capital of Saudi Arabia?,Riyadh
What is the capital of Malaysia?,Kuala Lumpur
What is the capital of Peru?,Lima
What is the capital of Venezuela?,Caracas
What is the capital of Colombia?,Bogota
What is the capital of Chile?,Santiago
What is the capital of Romania?,Bucharest
What is the capital of Kazakhstan?,Astana
What is the capital of Algeria?,Algiers
What is the capital of Sudan?,Khartoum
What is the capital of Morocco?,Rabat
What is the capital of Angola?,Luanda
What is the capital of Mozambique?,Maputo
What is the capital of Ghana?,Accra
What is the capital of Madagascar?,Antananarivo
What is the capital of Cameroon?,Yaounde
What is the capital of Ivory Coast?,Yamoussoukro
What is the capital of Niger?,Niamey
What is the capital of Burkina Faso?,Ouagadougou
What is the capital of Mali?,Bamako
What is the capital of Malawi?,Lilongwe
What is the capital of Zambia?,Lusaka
What is the capital of Zimbabwe?,Harare
What is the capital of Rwanda?,Kigali
What is the capital of Senegal?,Dakar
What is the capital of Chad?,NDjamena
What is the capital of Somalia?,Mogadishu
What is the capital of South Sudan?,Juba
What is the capital of Tunisia?,Tunis
What is the capital of Libya?,Tripoli
What is the capital of Botswana?,Gaborone
What is the capital of Namibia?,Windhoek
What is the capital of Eritrea?,Asmara
What is the capital of Mauritania?,Nouakchott
What is the capital of Sierra Leone?,Freetown
What is the capital of Togo?,Lome
What is the capital of Benin?,Porto-Novo
What is the capital of Burundi?,Gitega
What is the capital of Central African Republic?,Bangui
What is the capital of Republic of Congo?,Brazzaville
What is the capital of Democratic Republic of Congo?,Kinshasa
What is the capital of Equatorial Guinea?,Malabo
What is the capital of Gabon?,Libreville
What is the capital of Guinea?,Conakry
What is the capital of Guinea-Bissau?,Bissau
What is the capital of Liberia?,Monrovia
What is the capital of Lesotho?,Maseru
What is the capital of Eswatini?,Mbabane
What is the capital of Djibouti?,Djibouti
What is the capital of Comoros?,Moroni
What is the capital of Cape Verde?,Praia
What is the capital of Sao Tome and Principe?,Sao Tome
What is the capital of Seychelles?,Victoria
What is the capital of Mauritius?,Port Louis
What is the capital of New Zealand?,Wellington
What is the capital of Papua New Guinea?,Port Moresby
What is the capital of Fiji?,Suva
What is the capital of Solomon Islands?,Honiara
What is the capital of Vanuatu?,Port Vila
What is the capital of Samoa?,Apia
What is the capital of Tonga?,Nukualofa
What is the capital of Kiribati?,South Tarawa
What is the capital of Micronesia?,Palikir
What is the capital of Palau?,Ngerulmud
What is the capital of Marshall Islands?,Majuro
What is the capital of Nauru?,Yaren
What is the capital of Tuvalu?,Funafuti
What is the capital of Myanmar?,Naypyidaw
