question,answer
In what year did the First World War begin?,1914
Who was the first President of the United States?,George Washington
In what year did the Berlin Wall fall?,1989
Which empire did Julius Caesar lead?,Roman
In what year did World War Two end?,1945
Who wrote the Communist Manifesto?,Karl Marx
In what year did the French Revolution begin?,1789
Which country dropped the atomic bombs on Japan in 1945?,United States
Who was the British Prime Minister at the start of World War Two?,Neville Chamberlain
In what year did the Russian Revolution take place?,1917
Who commanded the Allied forces on D-Day?,Dwight Eisenhower
In what year was the Magna Carta signed?,1215
Which city was the capital of the Byzantine Empire?,Constantinople
Who was the first Emperor of China?,Qin Shi Huang
In what year did the United States declare independence?,1776
Who led the Soviet Union during World War Two?,Joseph Stalin
In what year did Napoleon meet his final defeat at Waterloo?,1815
Which country was the first to grant women the right to vote?,New Zealand
Who assassinated Archduke Franz Ferdinand?,Gavrilo Princip
In what year did the Ottoman Empire officially dissolve?,1922
In what year did the Second World War begin?,1939
Who was the first person to walk on the Moon?,Neil Armstrong
In what year did the Soviet Union collapse?,1991
Who was the leader of Nazi Germany?,Adolf Hitler
In what year was the United Nations founded?,1945
Which country was the first to launch a satellite into space?,Soviet Union
Who was the British monarch during World War Two?,George VI
In what year did the American Civil War end?,1865
Who invented the telephone?,Alexander Graham Bell
In what year did the First Crusade begin?,1096
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher
In what year did India gain independence from Britain?,1947
Who led the Cuban Revolution?,Fidel Castro
In what year was the atomic bomb dropped on Hiroshima?,1945
Who was the first Emperor of Rome?,Augustus
In what year did the Korean War begin?,1950
Who wrote the Declaration of Independence?,Thomas Jefferson
In what year did Christopher Columbus first reach the Americas?,1492
Who was the last Tsar of Russia?,Nicholas II
In what year was the Eiffel Tower completed?,1889
Which battle ended Napoleon's rule in 1815?,Waterloo
Who was the first woman to win a Nobel Prize?,Marie Curie
In what year did the Vietnam War end?,1975
Who commanded the German forces at the Battle of El Alamein?,Erwin Rommel
In what year was the Great Wall of China begun under the Qin dynasty?,221
Who was the first Chancellor of unified Germany in 1871?,Otto von Bismarck
In what year did the Spanish Civil War begin?,1936
Who was the last Byzantine Emperor?,Constantine XI
In what year did Mao Zedong proclaim the People's Republic of China?,1949
Who built the Taj Mahal?,Shah Jahan
In what year did the Battle of Hastings take place?,1066
Who was the first President of France's Fifth Republic?,Charles de Gaulle
In what year was the League of Nations founded?,1920
Who led the Long March in China?,Mao Zedong
In what year did the Titanic sink?,1912
Who was the first Prime Minister of Australia?,Edmund Barton
In what year did the Thirty Years War end?,1648
Who assassinated Abraham Lincoln?,John Wilkes Booth
In what year was the Bastille stormed?,1789
Who was the first Secretary-General of the United Nations?,Trygve Lie
In what year did Nelson Mandela become President of South Africa?,1994
Who led the Indian independence movement using nonviolent resistance?,Mahatma Gandhi
In what year did the Black Death first reach Europe?,1347
Who was the first female President of Argentina?,Isabel Peron
In what year did the American Revolution end?,1783
Who commanded Union forces at the Battle of Gettysburg?,George Meade
In what year was the Berlin Airlift?,1948
Who was the last Pharaoh of ancient Egypt?,Cleopatra
In what year did the Gulf War begin?,1990
Who was the first Prime Minister of Israel?,David Ben-Gurion
In what year was the Constitution of the United States ratified?,1788
Who led the Bolshevik Revolution?,Vladimir Lenin
In what year did the Rwandan genocide occur?,1994
Who was the first President of Mexico?,Guadalupe Victoria
In what year did Hitler become Chancellor of Germany?,1933
Who was the Roman general who crossed the Rubicon?,Julius Caesar
In what year was the Suez Crisis?,1956
Who was the first Prime Minister of Canada?,John A Macdonald
In what year did the Battle of Trafalgar take place?,1805
Who was the first President of the United States to be impeached?,Andrew Johnson
In what year did the Ottoman siege of Vienna fail?,1683
Who was the first President of Ghana?,Kwame Nkrumah
In what year did the Iran hostage crisis begin?,1979
Who commanded the Confederate forces during the American Civil War?,Robert E Lee
In what year did Vesuvius erupt and destroy Pompeii?,79
Who was the first female Prime Minister of India?,Indira Gandhi
In what year did the Meiji Restoration begin in Japan?,1868
Who was the British general defeated at Yorktown?,Charles Cornwallis
In what year did the Cuban Missile Crisis occur?,1962
Who founded the Mongol Empire?,Genghis Khan
In what year did the French Third Republic fall?,1940
Who was the first President of the Republic of Turkey?,Mustafa Kemal Ataturk
In what year was the Battle of Marathon?,490
Who led the Haitian Revolution?,Toussaint Louverture
In what year did the Falklands War take place?,1982
Who was the first President of South Africa after apartheid?,Nelson Mandela
In what year did the Byzantine Empire fall?,1453
Who was the first Holy Roman Emperor?,Charlemagne
In what year was the Treaty of Versailles signed?,1919
Who was the first President of Egypt after the revolution of 1952?,Muhammad Naguib
In what year did the Korean War end?,1953
Who was Julius Caesar's assassin and also his close ally?,Marcus Brutus
In what year was the Battle of Agincourt?,1415
Who was the first female Chancellor of Germany?,Angela Merkel
In what year did the Peloponnesian War begin?,431
Who was the first President of Zimbabwe?,Canaan Banana
In what year was the Magna Carta sealed?,1215
Who led the Protestant Reformation in Germany?,Martin Luther
In what year did the Anglo-Zulu War take place?,1879
Who was the first President of Brazil?,Deodoro da Fonseca
In what year did the Second Punic War begin?,218
